,Title,Published_date,Views,Likes,Comments,Month
0,City That Whistles - Madras Day 2023 Special,22-08-2023,10466,1160,45,Aug
1,Madras ft. Super Kings | Madras Day 2023  Special,22-08-2023,19137,1816,103,Aug
2,That moment when a billion hearts sang in unison! 🇮🇳💛#IndependenceDay 📹: @icc,15-08-2023,27248,4154,29,Aug
3,Buchi Babu Tournament is the first stepping stone into big cricket - Kris Srikkanth | Press Meet,12-08-2023,8819,787,28,Aug
4,"With Yellove and Gratitude, ✍🏻The Birthday Swingam! 🦁 #SuperBirthday #WhistlePodu #Yellove 🦁💛",07-08-2023,68564,9075,58,Aug
5,All time XI of Dube is as strong as a Clay 😍Pick yours here📎 bit.ly/42k8NkQ,05-08-2023,124015,10290,72,Aug
6,Win-tage Cars ft.Thala! #WhistlePodu #Yellove🦁💛,03-08-2023,36688,5368,34,Aug
7,That sounds Mo like a perfect team 😎Pick yours here📎 bit.ly/42k8NkQ,21-07-2023,47389,4654,34,Jul
8,Thala's birthday gift 🎥💛#CelebratingThala #WhistlePodu 🦁,08-07-2023,184354,31265,332,Jul
9,The THALA Emotion - MS Dhoni Birthday Special | #CelebratingThala,07-07-2023,217802,22458,1103,Jul
10,Test Cricket’s an art and Bens got those master Strokes! 💪🏻#TheAshes #WhistlePodu #Yellove 🦁💛,04-07-2023,55255,7004,32,Jul
11,Does your All time XI match with that of Conway's ?Pick here 🔗 https://bit.ly/3D1WtKk,03-07-2023,53816,7734,90,Jul
12,The Season that was - Rewind to Summer of 2023 #WhistlePodu,30-06-2023,247838,13843,268,Jun
13,Moments that keep reeling forever in our hearts! 💛  Be a part of it 🔗 https://bit.ly/3NQ6mRI,29-06-2023,182915,21533,123,Jun
14,Your Monday evening Blockbuster!💥🥳#WhistlePodu #Yellove 🦁💛,26-06-2023,86115,11681,67,Jun
15,Ashes Action Block Ft. Ben Stokes and Moeen Ali,16-06-2023,31320,1772,66,Jun
16,Journey from Jharkhand to Chennai | Anbuden Diaries ft. Rajiv Kumar,08-06-2023,21033,1413,92,Jun
17,Ajinkya Rahane opens up on the India vs Australia Memories #INDvAUS | #WTCFinal,05-06-2023,29147,2160,83,Jun
18,Going Ben Strokes on his BDAY! 💥#SuperBirthday #WhistlePodu #Yellove 🦁💛,04-06-2023,164974,19894,119,Jun
19,Thala is an emotion 🥹#WhistlePodu #Yellove 🦁💛,03-06-2023,452786,65815,332,Jun
20,Celebrating the Super Kings Way | #CHAMPION5 #IPL2023,02-06-2023,1589855,73728,1529,Jun
21,CSK #SuperChampions celebrations - IPL 2023 Final | #CSKvGT,30-05-2023,1273536,66364,2386,May
22,Action Unfiltered - The Last Grind before the Finale,28-05-2023,180633,7429,252,May
23,IPL Final : Chennai Super Kings vs Gujarat Titans Match Preview ft. Stephen Fleming,28-05-2023,88745,4827,265,May
24,"Thank You, Chepauk! - Rewinding the memories of the summer!",28-05-2023,131697,7145,238,May
25,Birthday celebrations of Michael Hussey | Super Birthday #WhistlePodu,27-05-2023,85303,4755,199,May
26,Super couple episode 2 - Devon Conway and Kim Conway,27-05-2023,574907,17368,575,May
27,"Broken bridge, Dosa, Curd rice and more.. | In Chennai ft. Tushar, Simar and Prashant",27-05-2023,107903,4669,133,May
28,I wish i could have batted like Conway - Michael Hussey | Anbuden Diaries Part 2,27-05-2023,39847,2810,165,May
29,Reliving the Super King journey - Anbuden Diaries ft. Michael Hussey,26-05-2023,61700,3119,127,May
30,Appreciation for the ground staff ft. Thala MS Dhoni | Anbuden Thanks,25-05-2023,443143,21220,782,May
31,"Like father, like son ! 🙌🏏#WhistlePodu #Yellove 🦁💛",25-05-2023,13513743,535436,692,May
32,First time in Yellove ft. Sisanda Magala | #WhistlePodu,25-05-2023,57834,3407,120,May
33,The Masters in Discussion - Anbuden Diaries ft. Eric Simons and Dwayne Bravo,24-05-2023,66277,3646,141,May
34,Qualifier Game in Review ft. Ruturaj Gaikwad - #GTvCSK #IPL2023,24-05-2023,99545,6654,233,May
35,Gujarat Titans vs Chennai Super Kings Q1 - Post match scenes at the Team Hotel | #GTvCSK,24-05-2023,305933,17353,498,May
36,Qualifier -1 #GTvCSK Match Preview ft. Devon Conway,23-05-2023,97068,6355,408,May
37,Moeen Ali on his journey with the Pride | Anbuden Diaries,23-05-2023,79825,4349,176,May
38,The Raw Version of the roar! 🔥#GTvCSK #WhistlePodu #Yellove 🦁💛,23-05-2023,334630,29260,259,May
39,Ball Tracking with Mo & Co! 💥#IPL2023 #WhistlePodu #Yellove 🦁💛,22-05-2023,532011,33455,118,May
40,Sharpening the blade for the strike! ⚔️🔥#IPL2023 #WhistlePodu #Yellove 🦁💛,22-05-2023,215132,16438,84,May
41,Anbuden Diaries ft. Ben Stokes,22-05-2023,179163,9713,410,May
42,"Golfers Day out ft. Fleming, Hussey, Eric & Santner | Kings Arena",22-05-2023,68860,3905,116,May
43,'A standout performance' - #DCvCSK Game Review ft. Ruturaj Gaikwad,21-05-2023,65915,4686,177,May
44,Action Plan with Ambati Rayudu - #DCvCSK Match Preview,20-05-2023,34897,2239,108,May
45,By the nets in monochrome -  Training Compilation | #DCvCSK,20-05-2023,38021,3281,223,May
46,"Rutu's Travel Vlog | Safari Times Episode 02 - Chennai to Delhi, 2023",20-05-2023,322492,18106,536,May
47,Moeen Ali reflects on the Summer of 23' so far | Lions upclose,19-05-2023,48376,2903,116,May
48,WhistlePodu Express 2023 Travelogue - The Memories,18-05-2023,122101,2921,126,May
49,The Grind Mindset and more - Lion's Up Close ft. Rajvardhan Hangargekar,17-05-2023,21819,1672,47,May
50,Super Couple Episode 1 - Dwaine and Zilma Pretorius,17-05-2023,67190,3290,78,May
51,Training through the third eye - SuperCam ft. Mitchell Santner,16-05-2023,77273,4960,213,May
52,Powering up the pace batteries - Anbuden Diaries ft. Bowling Coaches DJ Bravo and Eric Simons,16-05-2023,53005,2946,141,May
53,Last home game whistles - #CSKvKKR match review,15-05-2023,47192,2870,150,May
54,Whistles From Chepauk - Episode 7 : Kings vs Knights | #CSKvKKR,15-05-2023,21272,1654,67,May
55,Cherry x Dhool 🫂👕Just like old times 💛#CSKvKKR #WhistlePodu #Yellove 🦁,15-05-2023,733000,64498,272,May
56,A night of gratitude and infinite #Yellove #YellorukkumThanks #WhistlePodu 🦁💛,14-05-2023,380822,20975,598,May
57,Chennai Super Kings vs Kolkata Knight Riders Match Preview with DJ Bravo and Eric Simons | #CSKvKKR,14-05-2023,42766,2640,124,May
58,Anbuden Diaries - Chennai Super Kings vs Kolkata Knight Riders | #CSKvKKR,14-05-2023,61732,4595,176,May
59,Riding the waves! - In Chennai with Dwaine Pretorius and Devon Conway,14-05-2023,347820,11889,215,May
60,3..2..1..... 🚀#WhistlePodu #Yellove 🦁💛,13-05-2023,342882,39686,109,May
61,Straight into the zone! 🪄#WhistlePodu #Yellove 🦁💛,13-05-2023,111259,10727,49,May
62,Kothu Parotta Masterclass with Maheesh Theekshana and Matheesha Pathirana,13-05-2023,557341,13767,436,May
63,A closer look at Ajinkya Rahane - Lions Up Close,12-05-2023,84831,4716,153,May
64,The Journey of Ambati Rayudu in Yellove | ATR 200*,11-05-2023,38307,2670,73,May
65,Whistles From Chepauk - Episode 6 : The Capitals Challenge | #CSKvDC,11-05-2023,30234,2179,77,May
66,Chennai Super Kings vs Delhi Capitals - Match Review with Ruturaj Gaikwad,11-05-2023,58219,4078,114,May
67,"Ravindra Jadeja  - Player of the Match - #CSKvDC Chepauk, 2023",11-05-2023,415274,14488,323,May
68,10-May-23,10-05-2023,211835,20919,61,May
69,Chennai Super Kings vs Delhi Capitals Match Preview with Mike Hussey,10-05-2023,47958,3335,156,May
70,"Super Kings felicitates Bomman, Bellie & Oscar winning director Kartiki Gonsalves",10-05-2023,98735,8281,183,May
71,The Man catches Everything!🧤#WhistlePodu #Yellove 🦁💛,10-05-2023,6128444,240428,319,May
72,Beginning with a BANG! Ali Bhai on attack mode! #WhistlePodu #Yellove 🦁💛,08-05-2023,180360,15273,30,May
73,RutuWay all the way! | Anbuden Diaries ft. Ruturaj and Conway,08-05-2023,96154,6761,213,May
74,Whistles From Chepauk - Episode 5 : The El Clasico Edition,07-05-2023,53198,3503,124,May
75,Chennai Super Kings vs Mumbai Indians - Match Review with Deepak Chahar  #CSKvMI,07-05-2023,68377,4305,144,May
76,"Matheesha Pathirana -  Player of the Match - #CSKvMI Chepauk, 2023",07-05-2023,1600129,34756,652,May
77,Chinna Thala at Anbuden - Trip down the memory lane ft. Suresh Raina,06-05-2023,119368,9140,343,May
78,El Clasico is back home! -  #CSKvMI Match Preview ft. Maheesh Theekshana,06-05-2023,28037,2364,154,May
79,El Clasico Training Day - #CSKvMI,06-05-2023,111234,6562,331,May
80,Shot Mo-chi! 🤩#CSKvMI #WhistlePodu #Yellove 🦁💛,05-05-2023,325236,19034,52,May
81,Just can't skip this! 🥳🤩#CSKvMI #WhistlePodu #Yellove 🦁💛,05-05-2023,2612738,149612,273,May
82,Passion and Belief - First Time in Yellove ft. Akash Singh,05-05-2023,29754,2492,126,May
83,Tapping into the fan pulse with namma Super Kings!#WhistlePodu #Yellove 🦁💛,04-05-2023,175549,13336,50,May
84,Ace by the Pacer!🏌🏻#WhistlePodu #Yellove 🦁💛,04-05-2023,3719049,158270,215,May
85,Contributing to the team is my main goal - Lions upclose ft. Ruturaj Gaikwad,04-05-2023,64194,4910,252,May
86,Spinners Day Out - #LSGvCSK Match Review,04-05-2023,54136,3561,155,May
87,Clash of the Supers - #LSGvCSK Match Preview,03-05-2023,45572,3418,199,May
88,'Being the X Factor...' - Lion's Upclose Ft. Dwaine Pretorius,02-05-2023,23187,2128,163,May
89,Super Cam - FPV of the Super Practice ft. Ruturaj Gaikwad,02-05-2023,199417,12521,365,May
90,Devon Conway Speech - Player of the Match | #CSKvPBKS,01-05-2023,32651,2736,95,May
91,Post Match Review - Chennai Super Kings vs Punjab Kings | #CSKvPBKS,01-05-2023,35143,2408,224,May
92,We will keep the roar going just like your support has been throughout! 💛#WhistlePoduExpress,30-04-2023,210951,21897,110,Apr
93,WhistlePodu Express | Kanyakumari to Anbuden - #CSKvPBKS,30-04-2023,14896,1585,86,Apr
94,Chennai Super Kings vs Punjab Kings Match Preview with Tushar Deshpande | #CSKvPBKS,30-04-2023,31029,2521,221,Apr
95,Having Dhoni as a leader is very special for me - Devon Conway | Lions upclose,30-04-2023,217534,8743,265,Apr
96,Jaddu’s fielding masterclass with Sena 🫶💛  #WhistlePodu #Yellove 🦁,29-04-2023,8446940,435144,464,Apr
97,Ravindra Jadeja's dose of magic through the years | 150 IPL game in Yellove,28-04-2023,36636,3297,180,Apr
98,Rajasthan Royals vs Chennai Super Kings - Match Review | #RRvCSK,28-04-2023,42452,2782,168,Apr
99,"#RRvCSK at Jaipur, brings back some memories doesn’t it? 😃#WhistlePodu #Yellove 💛🦁",27-04-2023,387451,37484,102,Apr
100,Plug in your 🎧 for 💥 ft. Shaik Rasheed! #WhistlePodu #Yellove 🦁💛,27-04-2023,260350,23274,88,Apr
101,Rajasthan Royals vs Chennai Super Kings Match Preview with Shivam Dube | #RRvCSK,27-04-2023,77947,5261,218,Apr
102,Birthday today; Matchday tomorrow! And some candid POV in between! 📹#WhistlePodu #Yellove 🦁💛,26-04-2023,204882,21490,66,Apr
103,Akash Singh birthday celebrations in Jaipur | #RRvCSK,26-04-2023,192809,11163,317,Apr
104,"Ready Madi Adi - A Super Strong Fan Anthem ft, Sunfeast Supermilk",26-04-2023,48939,4835,122,Apr
105,📹 Touching Down the Pink City with 😃😀#WhistlePodu #Yellove 🦁💛,26-04-2023,251665,30615,158,Apr
106,The emotion attached to Thala Dhoni's bat | Lions upclose ft. Shaik Rasheed,25-04-2023,69029,3834,125,Apr
107,Akash Singh reflects on the incredible win at Eden Gardens | #KKRvCSK Match Review,24-04-2023,62641,4236,119,Apr
108,Modest Ajju on his knock last night 💛#KKRvCSK #WhistlePodu #Yellove 🦁,24-04-2023,257003,27880,125,Apr
109,To Top off Speedy Singh’s spell yesterday! 📹#WhistlePodu #Yellove 🦁💛,24-04-2023,203285,15277,27,Apr
110,Your Anbuden experience is on us! Participate and win Free #CSKvPBKS Match Tickets  #IPL2023 🦁,23-04-2023,144006,8859,40,Apr
111,Super Sunday Blockbuster | #KKRvCSK Match Preview,23-04-2023,114498,5428,118,Apr
112,Home Whistles Roaring loud! - Whistles From Chepauk Vol.3,23-04-2023,31113,2628,78,Apr
113,"Everywhere we go... Roar and Shine, We are Texas Super Kings! 🦁⭐ #WhistleForTexas",22-04-2023,99026,6344,159,Apr
114,"""Blessed to watch Rutu-Conway bat!"" - Maheesh Theekshana | #CSKvSRH Match Review",22-04-2023,96857,4691,127,Apr
115,Battle of the South - #CSKvSRH Match Preview ft. Eric Simmons,21-04-2023,41540,3478,180,Apr
116,"Learning from Dad, Thala and within | Lions Up Close - Ft. Shivam Dube",21-04-2023,108767,5924,185,Apr
117,"Super King's Day out IN CHENNAI Episode 1 ft. Rasheed, Rajvardhan & Nishant",20-04-2023,130604,6276,133,Apr
118,Fifteen Years Since! - Memories of The First Roar ft. Pride of 2008,19-04-2023,107583,5057,150,Apr
119,Super Star and the Super King! 😎🔥#WhistlePodu #Yellove 🦁💛,19-04-2023,814681,56865,138,Apr
120,Matheesha Pathirana reflects on his last over finish | RCB vs CSK Review,18-04-2023,288899,11176,310,Apr
121,The streets know and whistle! 🥳#RCBvCSK #WhistlePodu #Yellove 🦁💛,17-04-2023,163779,16227,52,Apr
122,Champion looks back at his Bangalore Days! #RCBvCSK #WhistlePodu #Yellove 🦁💛,17-04-2023,449820,37391,85,Apr
123,'An Electric Crowd to entertain!' | #RCBvCSK Match Preview ft. Moeen Ali,17-04-2023,89268,5489,341,Apr
124,The comeback story of Tushar Deshpande | Anbuden Diaries,17-04-2023,36357,2675,102,Apr
125,Surprise Run-ins with the speedster! 📹#WhistlePodu #Yellove 🦁💛,15-04-2023,417515,38907,134,Apr
126,Great to be back in Chennai | Anbuden Diaries ft. Eric Simons,15-04-2023,24601,2084,77,Apr
127,Chithirai Super Kondattam - Tamil New Year Celebrations ft. The Super Kings,14-04-2023,85508,6169,171,Apr
128,"Whistle From Chepauk - Episode 2 | CSKvRR - 12th April, 2023",14-04-2023,21869,1878,71,Apr
129,The Thala Thunder! - #CSKvRR Post Match Review,13-04-2023,57962,3832,211,Apr
130,Thala 200* | MS Dhoni Felicitated for leading CSK in 200 IPL Games | IPL 2023,12-04-2023,77381,5348,170,Apr
131,Looking forward to enjoy the huge yellow crowd! - CSKvRR Match Preview ft. Mike Hussey,12-04-2023,58743,4401,215,Apr
132,Baahubali BTS 💥#WhistlePodu #Yellove🦁💛,11-04-2023,191850,14047,73,Apr
133,MI vs CSK Match review with Debutant Sisanda Magala | #MIvCSK #WhistlePodu,09-04-2023,134033,7129,182,Apr
134,#ChinnaThala's reaction at the end summed up!💛🥹#WhistlePodu #Yellove 🦁💛,09-04-2023,403347,47016,237,Apr
135,#MIvCSK Match Preview with the Champion DJ Bravo | #WhistlePodu,08-04-2023,91621,6265,248,Apr
136,Wankhede memories with Ajinkya Rahane | #MIvCSK #WhistlePodu,08-04-2023,62293,4731,234,Apr
137,Reminiscing the historic comeback game with the Champion himself 🎥#WhistlePodu #Yellove 🦁💛,07-04-2023,128421,19071,76,Apr
138,Watch in wonder! Devon down the track! 💥#WhistlePodu #Yellove 🦁💛,07-04-2023,229510,17301,61,Apr
139,"Deepak's Travel Vlog | Safari Times Episode 01 - Chennai to Mumbai, 2023",07-04-2023,622939,31047,901,Apr
140,Best view of the Day ⚔️🪄#WhistlePodu #Yellove 🦁💛,06-04-2023,317060,32348,124,Apr
141,Falling In love with Shaik’s Process! #WhistlePodu #Yellove 🦁💛,06-04-2023,226435,20544,85,Apr
142,Baasha Boys Mumbai travelogue! 🛬📹#WhistlePodu #Yellove 🦁💛,06-04-2023,428361,41425,105,Apr
143,"A pleasant surprise indeed, dear viewers ✨#TouchdownMumbai 💛🦁",05-04-2023,2014782,130401,260,Apr
144,All the Super Fans Celebrations - Whistles From Chepauk Ep 1 - CSK vs LSG,05-04-2023,50692,3964,124,Apr
145,The Crowd & atmosphere at Anbuden was electric - Moeen Ali | CSK vs LSG Match Review,04-04-2023,151066,8452,232,Apr
146,Ruturaj on playing @ Anbuden in Yellow for the 1st time | #CSKvLSG Match Preview,03-04-2023,126753,8521,340,Apr
147,"Come one, come all! The greatest carnival is back in town! 🥳#WhistlePodu #Yellove 🦁💛",02-04-2023,175279,23429,132,Apr
148,Cant wait to see full crowd at Chepauk - Deepak Chahar | Anbuden Diaries,02-04-2023,77953,5861,272,Apr
149,Rajvardhan Hangargekar reflects on his IPL Debut | GT vs CSK Match Review,01-04-2023,103328,6751,364,Apr
150,Always signed in our hearts! 💛#WhistlePodu #Yellove 🦁,01-04-2023,854995,58852,85,Apr
151,Ready. Steady. Roar! - Anbuden Diaries #GTvCSK,31-03-2023,39341,2345,218,Mar
152,Gujarat Titans vs Chennai Super Kings | Match Preview with Mr. Cricket Mike Hussey,31-03-2023,66716,5387,337,Mar
